Number	Selection	P_fix	P_fix_MH
808	-0.824862357199	9.48830068674e-72	1.17444403872e-71
809	-2.75709477162	8.2190121116e-238	8.25226205574e-238
810	-0.348000366949	5.96413170565e-31	1.1894370571e-30
811	-0.000613998562922	0.00940433782251	0.885527545058
812	-0.26487819086	6.87306671499e-24	1.67125584811e-23
813	-524.840682334	0.0	0.0
814	-0.117643227008	1.60446101836e-11	7.65284194791e-11
815	0.0031044529955	0.013382074941	1.0
816	-1.9549703768	7.63315196293e-169	7.78926192346e-169
817	-0.0948233775117	1.21205798209e-09	7.01630754996e-09
818	0.0012658821553	0.0113049236931	1.0
819	-0.0108147642062	0.00284081685577	0.11749925183
820	-0.0996742182684	4.85318759764e-10	2.68524137043e-09
821	-322.512090007	0.0	0.0
822	-4.76573875176	0.0	0.0
823	-83.4353994478	0.0	0.0
824	-146.666040189	0.0	0.0
825	-4.68844772491	0.0	0.0
826	6.28509864093e-05	0.0100623502191	1.0
827	-13.7483530754	0.0	0.0
828	-18.7353303748	0.0	0.0
829	-4.68446047168	0.0	0.0
830	0.00612336322313	0.0172372829517	1.0
831	-0.763085959457	1.88608984352e-66	2.40992629768e-66
832	-56.6575071362	0.0	0.0
833	0.000951640530314	0.0109713655357	1.0
834	-0.0684731804562	1.65623875279e-07	1.29410692965e-06
835	-19.1860818758	0.0	0.0
836	-383.146424893	0.0	0.0
837	-440.662694184	0.0	0.0
838	-0.00790789205754	0.00412711968744	0.208928617714
839	-709.7756926	0.0	0.0
840	-309.788026004	0.0	0.0
841	-252.796474148	0.0	0.0
842	-0.851277170905	5.14105438984e-74	6.28657899284e-74
843	0.00696714802461	0.0184065947727	1.0
844	-529.502733691	0.0	0.0
845	-1.19934067987	6.71378887742e-104	7.38458750048e-104
846	-4.6766266974	0.0	0.0
847	-41.9959945357	0.0	0.0
848	-0.403329293728	1.1503439011e-35	2.07773445662e-35
849	-0.0370284949452	4.67472853686e-05	0.000654498019141
850	-168.754128026	0.0	0.0
851	-47.5232310388	0.0	0.0
852	0.00271262405277	0.0129216236416	1.0
853	-690.92295226	0.0	0.0
854	-0.50479832597	2.48567270352e-44	3.91054030448e-44
855	-0.000759747594968	0.00926652398845	0.860337931077
856	-709.7756926	0.0	0.0
857	-0.366676793923	1.53146185608e-32	2.94679393909e-32
858	-352.281951374	0.0	0.0
859	-0.0281402061132	0.000208916549069	0.00380377680265
860	-0.0140729760837	0.00181977735524	0.0616396920451
861	0.0070202933316	0.0184814990874	1.0
862	-8.94249951866e-16	0.01	1.0
863	0.0013414397301	0.0113860693593	1.0
864	-253.395921861	0.0	0.0
865	0.00378943590922	0.0142096615658	1.0
866	-0.0345606090119	7.13252951717e-05	0.00106689727665
867	-404.686066787	0.0	0.0
868	-4.35814447951	0.0	0.0
869	-0.00732849008656	0.00443315787089	0.234326218777
870	-0.00209402273509	0.00806860017364	0.660593568746
871	-18.1661820068	0.0	0.0
872	-473.938020056	0.0	0.0
873	-2.04148085979	2.78644045788e-176	2.83421819059e-176
874	0.000836277149967	0.0108505017145	1.0
875	0.00550154237529	0.0164002611758	1.0
876	-3.47007012182	4.04746226178e-299	4.05138454415e-299
877	-252.623381477	0.0	0.0
878	-10.4802769693	0.0	0.0
879	-0.00392052905078	0.00661253892951	0.46012147326
880	-1.9997592751	1.07659694941e-172	1.09669326017e-172
881	-227.940553353	0.0	0.0
